Drug,Status,Phase
Lepirudin,Approved,NA
Cetuximab,Approved,NA
Cetuximab,Approved,NA
Cetuximab,Approved,NA
Cetuximab,Approved,NA
Cetuximab,Approved,NA
Dornase alfa,Approved,NA
Denileukin diftitox,Approved,NA
Etanercept,Approved,NA
Etanercept,Approved,NA
Etanercept,Approved,NA
Etanercept,Approved,NA
Etanercept,Approved,NA
Leuprolide,Approved,NA
Leuprolide,Approved,NA
Peginterferon alfa-2a,Approved,NA
Peginterferon alfa-2a,Approved,NA
Alteplase,Approved,NA
Alteplase,Approved,NA
Alteplase,Approved,NA
Sermorelin,Approved,NA
Urokinase,Approved,NA
Goserelin,Approved,NA
Goserelin,Approved,NA
Reteplase,Approved,NA
Erythropoietin,Approved,NA
Erythropoietin,Approved,NA
Salmon Calcitonin,Approved,NA
Salmon Calcitonin,Approved,NA
Pegfilgrastim,Approved,NA
Sargramostim,Approved,NA
Peginterferon alfa-2b,Approved,NA
Asparaginase,Approved,NA
Anakinra,Approved,NA
Anakinra,Approved,NA
Anakinra,Approved,NA
Gramicidin D,Approved,NA
Gramicidin D,Approved,NA
Gramicidin D,Approved,NA
Gramicidin D,Approved,NA
Insulin Human,Approved,NA
Insulin Human,Approved,NA
Insulin Human,Approved,NA
Tenecteplase,Approved,NA
Desmopressin,Approved,NA
Desmopressin,Approved,NA
Desmopressin,Approved,NA
Coagulation factor VIIa Recombinant Human,Approved,NA
Coagulation factor VIIa Recombinant Human,Approved,NA
Coagulation factor VIIa Recombinant Human,Approved,NA
Coagulation factor VIIa Recombinant Human,Approved,NA
Oprelvekin,Approved,NA
Palifermin,Approved,NA
Palifermin,Approved,NA
Glucagon recombinant,Approved,NA
Aldesleukin,Approved,NA
Aldesleukin,Approved,NA
Aldesleukin,Approved,NA
Omalizumab,Approved,NA
Omalizumab,Approved,NA
Insulin Lispro,Approved,NA
Insulin Lispro,Approved,NA
Insulin Glargine,Approved,NA
Insulin Glargine,Approved,NA
Collagenase clostridium histolyticum,Approved,NA
Collagenase clostridium histolyticum,Approved,NA
Rasburicase,Approved,NA
Adalimumab,Approved,NA
Adalimumab,Approved,NA
Adalimumab,Approved,NA
Adalimumab,Approved,NA
Adalimumab,Approved,NA
Adalimumab,Approved,NA
Adalimumab,Approved,NA
Adalimumab,Approved,NA
Somatropin recombinant,Approved,NA
Somatropin recombinant,Approved,NA
Somatropin recombinant,Approved,NA
Somatropin recombinant,Approved,NA
Imiglucerase,Approved,NA
Gemtuzumab ozogamicin,Approved,NA
Pegaspargase,Approved,NA
Interferon beta-1a,Approved,NA
Eptifibatide,Approved,NA
Infliximab,Approved,NA
Infliximab,Approved,NA
Infliximab,Approved,NA
Infliximab,Approved,NA
Infliximab,Approved,NA
Infliximab,Approved,NA
Vasopressin,Approved,NA
Vasopressin,Approved,NA
Vasopressin,Approved,NA
Interferon beta-1b,Approved,NA
Trastuzumab,Approved,NA
Trastuzumab,Approved,NA
Trastuzumab,Approved,NA
Rituximab,Approved,NA
