Drug Code,Ingredient,Company Name,Class,Descriptor,Current Status Flag,Status,Route of Admin
10000,EPINEPHRINE BITARTRATE,ZOETIS CANADA INC,Veterinary,,Y,MARKETED,ORAL
10001,MELENGESTROL ACETATE,ERNO LASZLO,Veterinary,,Y,MARKETED,ORAL
10008,IMIPRAMINE HYDROCHLORIDE,AA PHARMA INC,Human,,Y,MARKETED,ORAL
10009,SODIUM LACTATE,BAXTER CORPORATION,Human,,Y,MARKETED,DIALYSIS
10010,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,BRISK CORPORATION,Disinfectant,,Y,MARKETED,DISINFECTANT (Hospital/HC Facilities)
10015,FLUOROURACIL,SANDOZ CANADA INCORPORATED,Human,,Y,MARKETED,INTRAVENOUS
10024,DOXYCYCLINE (DOXYCYCLINE HYCLATE),LABORATOIRE RIVA INC,Human,,Y,MARKETED,ORAL
10026,HALOPERIDOL,SANDOZ CANADA INCORPORATED,Human,,Y,MARKETED,INTRAMUSCULAR
10030,LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE),ZOETIS CANADA INC,Veterinary,,Y,MARKETED,ORAL
10031,XYLAZINE (XYLAZINE HYDROCHLORIDE),AKORN ANIMAL HEALTH INC,Veterinary,,Y,MARKETED,INTRAVENOUS
10032,HYPROMELLOSE,ACTELION PHARMACEUTICALS LTD,Human,,Y,MARKETED,OPHTHALMIC
10034,VERAPAMIL HYDROCHLORIDE,APOTEX INC,Human,,Y,MARKETED,ORAL
10035,NAPROXEN SODIUM,APOTEX INC,Human,,Y,MARKETED,ORAL
10036,DICLOFENAC SODIUM,EOS PRODUCTS LLC,Human,,Y,MARKETED,ORAL
10037,DICLOFENAC SODIUM,APOTEX INC,Human,,Y,MARKETED,ORAL
10040,SODIUM CHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10041,POTASSIUM CHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10042,POTASSIUM CHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10044,POTASSIUM CHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10045,POTASSIUM CHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10052,HYDROCORTISONE,DERMTEK PHARMA INC,Human,,Y,MARKETED,TOPICAL
10054,DEXTROMETHORPHAN HYDROBROMIDE,TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10063,THIAMINE HYDROCHLORIDE,SANDOZ CANADA INCORPORATED,Human,,Y,MARKETED,INTRAVENOUS
10114,CALCIUM CHLORIDE,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,Human,,Y,MARKETED,DIALYSIS
10115,CALCIUM CHLORIDE,LABORATOIRES LA ROCHE-POSAY CANADA,Human,,Y,MARKETED,DIALYSIS
10116,NITROGLYCERIN,NOVARTIS PHARMACEUTICALS CANADA INC,Human,,Y,MARKETED,TRANSDERMAL
10117,DOXYCYCLINE (DOXYCYCLINE HYCLATE),TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10128,AZATHIOPRINE (AZATHIOPRINE SODIUM),JAAPHARM CANADA INC.,Human,,Y,MARKETED,ORAL
10134,KETOPROFEN,AA PHARMA INC,Human,,Y,MARKETED,ORAL
10135,CHLORTHALIDONE,AA PHARMA INC,Human,,Y,MARKETED,ORAL
10136,KETOPROFEN,AA PHARMA INC,Human,,Y,MARKETED,ORAL
10143,SODIUM LACTATE,BAXTER CORPORATION,Human,,Y,MARKETED,DIALYSIS
10144,SODIUM LACTATE,BAXTER CORPORATION,Human,,Y,MARKETED,DIALYSIS
1016,CYCLOSPORINE,GREER LABORATORIES INC,Disinfectant,,Y,MARKETED,SUBCUTANEOUS
10165,LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE),ZOETIS CANADA INC,Veterinary,,Y,MARKETED,ORAL
10166,LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE),ZOETIS CANADA INC,Veterinary,,Y,MARKETED,ORAL
10168,LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE),ZOETIS CANADA INC,Veterinary,,Y,MARKETED,ORAL
10169,SULFACETAMIDE SODIUM,ALLERGAN INC,Human,,Y,MARKETED,OPHTHALMIC
10186,HYDROCORTISONE,UNIVET PHARMACEUTICALS LTD.,Veterinary,,Y,MARKETED,INTRAVENOUS
10188,ACETAMINOPHEN,GLAXOSMITHKLINE CONSUMER HEALTHCARE INC.,Human,,Y,MARKETED,ORAL
10217,ALUMINUM HYDROXIDE,LABORATOIRE ATLAS INC,Human,,Y,MARKETED,ORAL
10222,ISOFLUPREDONE ACETATE,ZOETIS CANADA INC,Veterinary,,Y,MARKETED,INTRASYNOVIAL
10224,LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE),ZOETIS CANADA INC,Veterinary,,Y,MARKETED,INTRAMUSCULAR
10226,YOHIMBINE (YOHIMBINE HYDROCHLORIDE),AKORN ANIMAL HEALTH INC,Veterinary,,Y,MARKETED,INTRAVENOUS
10294,IBUPROFEN,APOTEX INC,Human,,Y,MARKETED,ORAL
10300,MICONAZOLE NITRATE,ELANCO CANADA LIMITED,Veterinary,DROPS,Y,MARKETED,TOPICAL
10312,FOLIC ACID (SODIUM FOLATE),SANDOZ CANADA INCORPORATED,Human,,Y,MARKETED,SUBCUTANEOUS
10314,PETROLATUM,H.J. SUTTON INDUSTRIES LTD.,Human,,Y,MARKETED,TOPICAL
10316,DOCUSATE CALCIUM,TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10318,LEUPROLIDE ACETATE,ABBVIE CORPORATION,Human,,Y,MARKETED,INTRAMUSCULAR
1036,MOXIDECTIN,SANDOZ CANADA INCORPORATED,Human,,Y,MARKETED,ORAL
1037,OCTINOXATE,BELLCO SRL,Human,,Y,MARKETED,TOPICAL
10382,CEFTIOFUR (CEFTIOFUR SODIUM),ZOETIS CANADA INC,Veterinary,,Y,MARKETED,SUBCUTANEOUS
10383,DOXYCYCLINE (DOXYCYCLINE HYCLATE),APOTEX INC,Human,,Y,MARKETED,ORAL
10387,NONYL PHENOXYPOLY ETHOXY ETHANOL-IODINE,ECOLAB CO,Veterinary,,Y,MARKETED,TEAT-DIP
10391,SALBUTAMOL (SALBUTAMOL SULFATE),TEVA CANADA LIMITED,Human,,Y,MARKETED,INHALATION
10394,DILTIAZEM HYDROCHLORIDE,TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10395,DILTIAZEM HYDROCHLORIDE,TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10398,METHYLPHENIDATE HYDROCHLORIDE,PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
10399,METHYLPHENIDATE HYDROCHLORIDE,PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
10425,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,DANA CHEMICALS INC.,Disinfectant,,Y,MARKETED,DISINFECTANT (Hospital/HC Facilities)
10429,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,W.E. GREER LTD.,Disinfectant,,Y,MARKETED,DISINFECTANT (Hospital/HC Facilities)
10433,OXYCODONE HYDROCHLORIDE,SANDOZ CANADA INCORPORATED,Human,,Y,MARKETED,ORAL
10438,DEXTROSE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10439,DEXTROSE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10440,DEXTROSE,ALTACOMP ENTREPRISES INC,Human,,Y,MARKETED,INTRAVENOUS
10441,DEXTROSE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10442,SODIUM CHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10450,ACETAMINOPHEN,PENDOPHARM DIVISION OF PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
10456,CLINDAMYCIN (CLINDAMYCIN HYDROCHLORIDE),ZOETIS CANADA INC,Veterinary,,Y,MARKETED,ORAL
10457,DINOPROST (DINOPROST TROMETHAMINE),ZOETIS CANADA INC,Veterinary,,Y,MARKETED,SUBCUTANEOUS
10471,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,LES INDUSTRIES COBOL LTÉE,Disinfectant,,Y,MARKETED,DISINFECTANT (Hospital/HC Facilities)
10485,MORPHINE SULFATE,PALADIN LABS INC,Human,,Y,MARKETED,ORAL
10486,DIPHENHYDRAMINE HYDROCHLORIDE,PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
10488,FLUPHENAZINE DECANOATE,BRISTOL-MYERS SQUIBB CANADA,Human,,Y,MARKETED,SUBCUTANEOUS
10490,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,TIDOL CORPORATION,Disinfectant,,Y,MARKETED,DISINFECTANT (Food Premises)
10491,ALKYL DIMETHYL ETHYLBENZYL AMMONIUM CHLORIDE,TIDOL CORPORATION,Disinfectant,,Y,MARKETED,DISINFECTANT (Food Premises)
10492,DINOPROSTONE,PFIZER CANADA INC,Human,,Y,MARKETED,INTRACERVICAL
10494,AMILORIDE HYDROCHLORIDE,APOTEX INC,Human,,Y,MARKETED,ORAL
10497,SODIUM CITRATE,BAXTER CORPORATION,Human,,Y,MARKETED,0-UNASSIGNED
10509,POTASSIUM PHOSPHATE DIBASIC,SANDOZ CANADA INCORPORATED,Human,,Y,MARKETED,INTRAVENOUS
10511,DEXTROSE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10512,SODIUM LACTATE,BAXTER CORPORATION,Human,,Y,MARKETED,DIALYSIS
10515,DEXTROSE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10516,MANNITOL,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10517,MANNITOL,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10519,LIDOCAINE HYDROCHLORIDE,BAXTER CORPORATION,Human,,Y,MARKETED,INTRAVENOUS
10521,SODIUM CHLORIDE,VALNEVA SWEDEN AB,Human,,Y,MARKETED,INTRAVENOUS
10523,CEFIXIME,ODAN LABORATORIES LTD,Human,,Y,MARKETED,ORAL
10525,CEFIXIME,ODAN LABORATORIES LTD,Human,,Y,MARKETED,ORAL
10526,HEPARIN SODIUM,LEO PHARMA INC,Human,,Y,MARKETED,SUBCUTANEOUS
10533,LORATADINE,BAYER INC,Human,,Y,MARKETED,ORAL
10546,GLYCOSAMINOGLYCAN POLYSULFATE,LUITPOLD PHARMACEUTICALS INC,Veterinary,,Y,MARKETED,INTRA-ARTICULAR
10552,APRAMYCIN (APRAMYCIN SULFATE),ELANCO CANADA LIMITED,Veterinary,APRAMYCIN SULFATE SOLUBLE POWDER,Y,MARKETED,ORAL
10565,CETRIMONIUM BROMIDE,CANADIAN CUSTOM PACKAGING COMPANY,Human,,Y,MARKETED,TOPICAL
10567,PYRIDOSTIGMINE BROMIDE,VALEANT CANADA LP/VALEANT CANADA S.E.C.,Human,,Y,MARKETED,ORAL
10569,DOCUSATE CALCIUM,TEVA CANADA LIMITED,Human,,Y,MARKETED,ORAL
10575,DOCUSATE SODIUM,PHARMASCIENCE INC,Human,,Y,MARKETED,ORAL
1062,METHYL HEPTYL COLAMINO FORMYLMETHYL PYRIDINIUM CHL,EMEBKO ENTERPRISES INC,Human,,Y,MARKETED,DISINFECTANT (Institutional/Industrial)
10664,TAMOXIFEN (TAMOXIFEN CITRATE),APOTEX INC,Human,,Y,MARKETED,ORAL
10665,TERBUTALINE SULFATE,ASTRAZENECA CANADA INC,Human,,Y,MARKETED,INHALATION
10666,BUDESONIDE,ASTRAZENECA CANADA INC,Human,,Y,MARKETED,INHALATION
10667,BUDESONIDE,ASTRAZENECA CANADA INC,Human,POWDER FOR ORAL INHALATION,Y,MARKETED,INHALATION
10668,CHLORHEXIDINE GLUCONATE,LABORATOIRE ATLAS INC,Human,,Y,MARKETED,TOPICAL
10669,CHLORHEXIDINE GLUCONATE,LABORATOIRE ATLAS INC,Human,,Y,MARKETED,TOPICAL
10672,BUTORPHANOL (BUTORPHANOL TARTRATE),ZOETIS CANADA INC,Veterinary,,Y,MARKETED,INTRAVENOUS
10686,BENZALKONIUM CHLORIDE,ZEP MANUFACTURING COMPANY OF CANADA,Disinfectant,,Y,MARKETED,DISINFECTANT (Hospital/HC Facilities)
10687,CHORIONIC GONADOTROPIN,INTERVET CANADA CORP,Veterinary,,Y,MARKETED,SUBCUTANEOUS
10688,GONADOTROPHIN SERUM (PMSG),INTERVET CANADA CORP,Veterinary,,Y,MARKETED,SUBCUTANEOUS
10706,NITROGLYCERIN,OMEGA LABORATORIES LTD,Human,,Y,MARKETED,INTRAVENOUS
10707,ERYTHROMYCIN,PFIZER CANADA INC,Human,,Y,MARKETED,ORAL
10711,ACETYLSALICYLIC ACID,PHARMASCIENCE INC,Human,,Y,MARKETED,RECTAL
10712,ACETYLSALICYLIC ACID,PHARMASCIENCE INC,Human,,Y,MARKETED,RECTAL
10748,CLOTRIMAZOLE,POUND INTERNATIONAL LTD.,Human,,Y,MARKETED,TOPICAL
10762,TAMOXIFEN (TAMOXIFEN CITRATE),CIPHER PHARMACEUTICALS INC,Human,,Y,MARKETED,ORAL
10767,CHLORHEXIDINE GLUCONATE,OMEGA LABORATORIES LTD,Human,,Y,MARKETED,TOPICAL
10770,CALCIUM CHLORIDE,CHEM INTERNATIONAL,Human,,Y,MARKETED,INTRAVENOUS
10772,DICLOFENAC SODIUM,PRO DOC LIMITEE,Human,,Y,MARKETED,ORAL
10777,CLOTRIMAZOLE,INTERVET CANADA CORP,Veterinary,,Y,MARKETED,TOPICAL
10781,METHYLPREDNISOLONE ACETATE,ZOETIS CANADA INC,Veterinary,,Y,MARKETED,INTRASYNOVIAL
